ADEP,ADES,ICAO Route,Synthesized Route,Hausdorff Distance
AKL,KUL,DCT UPLAR/M082F340 RIGMI/N0481F340 DUBUD/N0480F360 DCT GATER Q39 SAVER G329 BN V129 EML DCT 2130S14510E 2000S14245E/N0475F380 1800S13915E 1600S13545E DCT ADKIV DCT JACKI DCT KIKEM M774 POVOT/N0475F360 M774 KEVOK/N0472F380 M774 LAMUD/N0467F400 M774 JUNHA DCT IRTAD A464 SJ G579 VJB A457 GUPTA GUPTA1H,POVOT M774 KEONG W44 ELBAM BLI W33 GOMAT NR W43 KPG,2957.7175064424264
AKL,KUL,DCT PEBLU N759 SASRO/N0474F340 N759 MIKEG DCT MOMSY DCT NATYA/N0472F360 DCT IGIPA DCT DAMOB DCT VAPTA DCT ANGAS DCT KEXIM DCT TATUK/N0475F380 DCT 1700S12400E 1600S12300E DCT ATMAP/N0469F400 M635 JUNHA DCT IRTAD A464 SJ G579 VJB A457 GUPTA GUPTA1H,POVOT M774 KEONG W44 ELBAM BLI W33 GOMAT NR W43 KPG,995.4889343603596
AKL,KUL,DCT MADEP N774 OLREL/N0477F360 N774 TESAT H530 RIC H226 ENPAG DCT APOMA DCT ELMUM/N0471F380 DCT SOTMI DCT 2500S13200E DCT GOMAP DCT 2000S12635E 1500S12130E DCT ATMAP/N0469F400 M635 JUNHA DCT IRTAD A464 SJ G579 VJB A457 GUPTA GUPTA1H,POVOT M774 KEONG W44 ELBAM BLI W33 GOMAT NR W43 KPG,2058.0253306982204
AKL,KUL,DCT UPLAR RIGMI/N0478F340 DUBUD/N0478F360 SCOTT J208 BN G326 LIKTO Q484 ROM T11 DOVUB/N0478F380 T11 NONET DCT LATOG DCT DIGLA DCT 1900S13000E DCT MAMUT DCT ONOXA/N0469F400 G326 BLI M635 JUNHA DCT IRTAD A464 SJ G579 VJB A457 GUPTA GUPTA1H,POVOT M774 KEONG W44 ELBAM BLI W33 GOMAT NR W43 KPG,2957.7175064424264
AKL,KUL,PEBLU N759 SASRO/N0482F340 M636 TESAT H530 RIC/N0475F360 H226 ENPAG DCT 2957S14505E DCT OVMUD DCT 2535S14056E 2118S13721E/N0477F380 1742S13414E 1444S13129E 1306S12948E DCT KIKEM M774 POVOT/N0470F400 M774 JUNHA DCT IRTAD A464 SJ G579 VJB A457 GUPTA GUPTA1H,POVOT M774 KEONG W44 ELBAM BLI W33 GOMAT NR W43 KPG,2058.0253306982204
AKL,KUL,DCT MADEP DCT PUGAB DCT VEPAS/N0474F340 M639 LHI J208 BN/N0482F320 V129 EML/N0478F380 DCT 2022S14401E 1751S14025E 1629S13819E 1352S13345E 1138S12931E DCT KIKEM M774 KEONG/N0471F400 M774 JUNHA DCT IRTAD A464 SJ G579 VJB A457 GUPTA GUPTA1H,POVOT M774 KEONG W44 ELBAM BLI W33 GOMAT NR W43 KPG,1918.7588804358606
AKL,KUL,DCT MADEP DCT PUGAB DCT OLREL/N0475F340 N774 RIKNI DCT MARLN N774 TESAT H530 RIC H226 ENPAG/N0477F360 DCT POLEV/N0476F380 DCT ELLOW DCT KEXIM DCT 2000S12700E DCT CIN/N0470F400 DCT 1500S12100E DCT ATMAP M635 JUNHA DCT IRTAD A464 SJ G579 VJB A457 GUPTA GUPTA1H,POVOT M774 KEONG W44 ELBAM BLI W33 GOMAT NR W43 KPG,2058.0253306982204
AKL,KUL,DCT PEBLU N759 SASRO/N0476F340 M636 TESAT H530 RIC H226 ENPAG/N0472F360 DCT POLEV AS/N0475F380 A587 JATAR DCT 1400S12120E DCT ATMAP M635 JUNHA DCT IRTAD A464 SJ G579 VJB A457 GUPTA GUPTA1H,POVOT M774 KEONG W44 ELBAM BLI W33 GOMAT NR W43 KPG,2058.0253306982204
AKL,SIN,MADEP DCT 37S163E/N0483F320 DCT VELKU DCT 3616S15223E DCT URBOB DCT NONUP DCT VENEL/N0482F340 DCT LAROO W428 LEC W550 GOMUL DCT 2600S13400E DCT LUVAV DCT 2156S13038E DCT 2100S13000E DCT 2000S12900E DCT DOPUK A587 NIKOM DCT BAVEX/N0482F380 DCT ONOXA DCT GABIT DCT DULOS DCT SOVKA DCT RITBO DCT TAVIP DCT GUKNO M635 SURGA T23 UGEBO UGEBO1B,POVOT M774 KEONG W44 ELBAM BLI W33 GOMAT NR W43 KPG,1475.46239454461
AKL,SIN,PEBLU N759 SASRO/N0487F320 DCT 38S160E DCT BOKED DCT CAWLY M636 TESAT KADOM DCT NODEK DCT VAGPO DCT ELMUM DCT TREBL DCT OLNAM DCT LEKAD DCT 2000S12900E/N0489F360 DCT DOPUK A587 ONOXA DCT GABIT DCT SOVKA/N0481F380 DCT KOLTA DCT SUMDI M635 SURGA T23 UGEBO KEXAS UGEBO1A,POVOT M774 KEONG W44 ELBAM BLI W33 GOMAT NR W43 KPG,2058.0253306982204
