origin,destination,min_dist_origin,min_dist_dest,route_distances,total_distances,Aircraft Cruise Speed (MPH),Time (H),hausdorff,sector_with_count_waypoint,sector_unique,route
AKL,CAN,1.2173113255902677,22.705838026304537,7061.935867797963,7085.859017149857,630.0,11.247395265317234,23.140710286737217,NZ2-YB16-WA4-WB3-WS3-VV27-ZG8,NZ-YB-WA-WB-WS-VV-ZG,POVOT M774 KEONG W44 ELBAM BLI W33 GOMAT NR W43 KPG
AKL,DPS,1.2173113255902677,0.3018451098747725,4382.967062401385,4384.486218836849,0.0,inf,0.0,NZ2-YB15-WA5,NZ-YB-WA,POVOT M774 KEONG W44 ELBAM BLI W33 GOMAT NR W43 KPG
AKL,DPS,1.2173113255902677,0.3018451098747725,4724.376521824135,4725.895678259601,0.0,inf,305.05616173014283,NZ2-YB15-WA6,NZ-YB-WA,POVOT M774 KEONG W44 ELBAM BLI W33 GOMAT NR W43 KPG
AKL,DPS,1.2173113255902677,0.3018451098747725,4744.685324529093,4746.204480964559,0.0,inf,451.9740305734294,NZ2-YB12-WA8,NZ-YB-WA,POVOT M774 KEONG W44 ELBAM BLI W33 GOMAT NR W43 KPG
AKL,DPS,1.2173113255902677,0.3018451098747725,4781.056377266016,4782.575533701482,0.0,inf,451.9740305734294,NZ2-YB12-WA8,NZ-YB-WA,POVOT M774 KEONG W44 ELBAM BLI W33 GOMAT NR W43 KPG
AKL,DPS,1.2173113255902677,0.3018451098747725,4796.105838791091,4797.624995226556,0.0,inf,451.9740305734294,NZ2-YB12-WA7,NZ-YB-WA,POVOT M774 KEONG W44 ELBAM BLI W33 GOMAT NR W43 KPG
AKL,KUL,1.2173113255902677,2.4252465918875536,5468.60593304859,5472.248490966067,567.0,9.651231906465727,0.0,NZ2-YB15-WA7-WI4-WS2-WI1-WS1-WM9,NZ-YB-WA-WI-WS-WI-WS-WM,POVOT M774 KEONG W44 ELBAM BLI W33 GOMAT NR W43 KPG
AKL,KUL,1.2173113255902677,2.4252465918875536,5476.400281997056,5480.042839914533,567.0,9.664978553641152,12.203636103679907,NZ2-YB15-WA7-WI4-WS2-WI1-WS3-WM9,NZ-YB-WA-WI-WS-WI-WS-WM,POVOT M774 KEONG W44 ELBAM BLI W33 GOMAT NR W43 KPG
AKL,KUL,1.2173113255902677,2.4252465918875536,5494.6402030437885,5498.282760961266,567.0,9.69714772656308,53.996452396668104,NZ2-YB15-WA7-WI4-WS2-WI1-WS1-WM6,NZ-YB-WA-WI-WS-WI-WS-WM,POVOT M774 KEONG W44 ELBAM BLI W33 GOMAT NR W43 KPG
AKL,KUL,1.2173113255902677,2.4252465918875536,5495.57252314085,5499.215081058327,567.0,9.698792030085233,53.996452396668104,NZ2-YB15-WA7-WI4-WS2-WI1-WS1-WM7,NZ-YB-WA-WI-WS-WI-WS-WM,POVOT M774 KEONG W44 ELBAM BLI W33 GOMAT NR W43 KPG
